200109040004,2001,9,4,"",0,"",19,6,South Asia,Sylhet,Sylhet,24.897778,91.871389,1,0,"","09/04/2001: In pre-poll violence leading up to Bangladesh�s general election, an activist of the Awami League party was killed in northeastern Sylhet District when unidentified gunmen opened fire while he was campaigning. No group claimed responsibility.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",22,Violent Political Party,109,Party Official/Candidate/Other Personnel,Awami League,Politician,19,Bangladesh,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","Nadeem Qadir, �Two More Killed in Bangladesh Pre-poll Violence,� Agence France Presse, September 4, 2001.","","",CETIS,-9,-9,0,-9,""
197701060002,1977,1,6,"",0,"",19,6,South Asia,Chittagong,Chittagong,22.341896,91.815117,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",USIS Center,217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","",Grenades,0,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
200109160003,2001,9,16,"",0,"",19,6,South Asia,Dhaka,Dhaka,23.791275,90.418205,1,0,This incident occurred as the motorcade was traveling in the Feni District near Dhaka.,"09/16/2001: Ten people were injured when gunmen, allegedly belonging to the former parliament, Awami League member, Joynal Hazari, opened fire on the motorcade escorting a procession led by the Bangladesh Nationalist Party Chairperson Khaleda Zia. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Bangladesh Nationalist Party (BNP),"Bangladesh Nationalist Party (BNP) Chairperson, Khaleda Zia and accompanying motorcade",19,Bangladesh,"","","","","","","","","","","","","","","","",Awami League,"","","","","",Unknown,1,"","",0,"",0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",0,0,0,10,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Xinhua News Agency: Six Killed",400 Hurt in Bangladesh�s Election-Related Violence,� Xinhua News Agency,September 16,"2001.\"","","",CETIS,0
197903270010,1979,3,27,"",0,"",19,6,South Asia,Dhaka,Dhaka,23.791275,90.418205,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)","","Home of Egyptian Ambassador, Mohammad Wafaa Hegazy",60,Egypt,"","","","","","","","","","","","","","","","",Palestinian Students,"","","","","","",0,"","",0,40,"","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Unk,0,"","",0,"","",1,4,Unknown,"","",1,-99,0,8,0,"","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
200109260004,2001,9,26,"",0,"",19,6,South Asia,Sylhet,Sulla,24.586944,91.265,1,0,"","09/26/2001: Four people were killed and two were injured by a bomb that went off on the first floor of the Upazila Health Complex in Sulla Upazila Sadar, Sunamganj District, Bangladesh before the start of an election projection meeting of the Awami League. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",22,Violent Political Party,109,Party Official/Candidate/Other Personnel,Awami League,Meeting,19,Bangladesh,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",4,0,0,2,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","\"\"\"Four Killed in Blast Near Awami League Election Meeting Venue",� The Independent,September 27,"2001.\"","","",CETIS,-9,-9
198005230003,1980,5,23,"",0,"",19,6,South Asia,Dhaka,Dhaka,23.791275,90.418205,1,0,"","",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",Bangladesh,"Khandakar Mushtaq Ahmed, Formet President; Leader Democratic League",19,Bangladesh,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Bombs,6,"","",80,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200111110011,2001,11,11,"",0,"",19,6,South Asia,Khulna,Bagerhat,22.659403,89.774251,1,0,"","11/11/2001: Fifteen people, including a former state minister and eight newsmen, were injured when about 25 youth armed with firearms, daggers, razors and hammers attacked a press conference of Awami League at Bagerhat, Bangladesh.",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,News Reporters,"Reporters at a press conference of Awami League at Bagerhat, Bangladesh",19,Bangladesh,2,Government (General),18,"Government Personnel (excluding police, military)",Government Employees,Government Employees,19,Bangladesh,"","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,25,0,0,"","","","","","","","","",9,Melee,21,Blunt Object,5,Firearms,5,Unknown Gun Type,9,Melee,23,Knife or Other Sharp Object,"","","","","The perpetrators were armed with firearms, daggers, razors and hammers.",0,0,0,15,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","�Bangladesh: At least 15 hurt as armed men attack Awami League press conference,� Dhaka The Independent, November 11, 2001.","","",CETIS,-9,-9,0,-9,""
198105300001,1981,5,30,"",0,"",19,6,South Asia,Chittagong,Chittagong,22.341896,91.815117,1,0,Ziaur Rahman was killed a Circuit House in Chittagong,"05/30/1981: President Ziaur Rahman of Bangledesh was attending a two hour political meeting to help resolve an intra-party dispute at a Circuit House in Chittagong. At 3:30AM the President was awoken by two rebel Army strike teams who freely entered the Chittagong Circuit House. The forty-four policemen on duty offered no resistence when the first team fired two shots, killing one constable and four of Ziar�s defenders, and accidentally wounding two of their own men. When inside, Lt-Col Matiur Rahman [Mahbubur], a Freedom Fighter, shot and killed General Ziaur.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),17,Head of State,President of  Bangladesh,Ziaur Rahman,19,Bangladesh,"","","","","","","","","","","","","","","","",Awami League,"",The Mukti Bahini,"","","","The attempted coup was staged by Bangledeshi rebel army officers who were supporters of the Awami League and veterans of the Mukti Bahini [1971 Freedom Fighters]. They were angered by Rahman's despotic and authoritarian rule, and his ruthless treatment of those holding political opposition.",0,0,"",0,1,26,0,"","","","","","","","","",5,Firearms,3,Handgun,5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","",A Sub-machine gun and hand rocket launcher were used.,6,0,0,2,0,2,0,"","","","",0,"","","","","","","","","","","","","","","","Lt-Col Mahboob and revolting Officers of the Bangledesh Army fired shots leading to injuries and deaths that occured during the event. However, Lt-Col Matiur Rahman was the one who shot and killed the President. Reports differ as to the number of casualties, as well as those captured, tried, charged  and put to death. Reports give conflicting information regarding the involvement of Major General Abul Manzoor [Manjoor] in the military coup.","�Further Installment of White Paper on Chittagong Mutiny.� BBC Summary of World Reports, August 10, 1981, Internal Affairs Section","Singh, Nagendra Kr. Encyclopedia of Bangladesh: Bangladesh Post-Independence Politics-I. New Delhi: Mehra Offset Press, 2003.","Rangan, Kasturi. �Bangladesh Leader is Shot and Killed in Coup Attempt.� The New York Times, May 31, 1981, Section 1",UMD Assassinations Project,0,0,0,0,""
200205250001,2002,5,25,"",0,"",19,6,South Asia,Rajshahi,Sirajganj,24.455391,89.699951,1,0,"",05/25/2002: Rebels attacked an automobile convoy in the Sirajganj district of Bangladesh. One Awami League party activist was killed and another 15 people were injured. No group claimed responsibility for the attack.,1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",22,Violent Political Party,109,Party Official/Candidate/Other Personnel,Awami League,Members,19,Bangladesh,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,-9,"","","","","","","","",-9,5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,0,0,15,0,0,-9,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","�Bangladesh Opposition Activist Killed, Ex-Home Minister Attacked,� Agence France Presse, May 26, 2002.","�Hasina Accuses Government of Institutionalized Terrorism,� The Independent, May 28, 2002.","�Hartal-AL,� United News of Bangladesh, May 27, 2002.",CETIS,-9,-9,0,-9,""
198203190002,1982,3,19,"",0,"",19,6,South Asia,Khulna,Khulna District,22.845641,89.540328,3,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",22,Violent Political Party,109,Party Official/Candidate/Other Personnel,Awami League,Meeting,19,Bangladesh,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",4,"","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200208300003,2002,8,30,"",0,"",19,6,South Asia,Khulna,Jessore,23.163957,89.213004,1,1,This incident occurred on a road leading to Jessore.,"08/30/2002: Bangladesh opposition leader Sheikh Hasina escaped unhurt when the vehicle she was in came under attack on the way to Jessore, Bangladesh, by alleged supporters of Prime Minister Begum Zia�s ruling Bangladesh Nationalist Party. The government of Bangaldesh did not appear to have a part in organizing the attack. Stones and explosives were hurled at Hasina�s jeep after the attackers had put roadblocks on the road. Some members of Hasina�s convoy were injured in the attack. No group claimed responsibility for the incident.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,2,Armed Assault,"","",14,Private Citizens & Property,84,Political Party Member/Rally,Awami League,"Bangladesh opposition leader and Awami League member, Sheikh Hasina",19,Bangladesh,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,9,Melee,21,Blunt Object,"","","","","","","","","",0,0,0,"",0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","",Roadblocks were also set up in an attempt to halt Sheikh Hasina's convoy. Hasina was an Awami League party member. The Awami League was a leading opposition party in Bangladesh.,"\"\"\"Bangladesh Opposition Leader Escapes Unhurt in Attack Blamed on BNP",� Doordarshan DD-1 National Television,August 30,"2002.\"","","",CETIS,-9,-9
198409270014,1984,9,27,"",0,"",19,6,South Asia,Dhaka,Kaliganj,23.964478,90.573071,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,"","Mr. Mahiuddin Ahmed*, former member of Parliment; Vice Chairman; oppostion",19,Bangladesh,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,23,Knife or Other Sharp Object,5,Firearms,5,Unknown Gun Type,"","","","","","","","",Knife; Firearm,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200209280003,2002,9,28,"",0,"",19,6,South Asia,Khulna,Satkhira,22.718485,89.070477,1,0,The Satkhira stadium,"\"9/28/2002: A bomb exploded at a circus being held at the Satkhira stadium in Satkhira, Khulna Division, Bangladesh.  Two people were killed in the explosion and another 35 were injured.  Authorities suspect that Islamic Shashantantra Andolon (ISA) is responsible for the incident.  The ISA has been targeting the circus for displaying \"\"indecent shows\"\".\"",1,1,1,0,"","",1,1,0,3,Bombing/Explosion,"","","","",1,Business,11,Entertainment/Cultural/Stadium/Casino,A circus,A circus being held at the Satkhira stadium in Satkhira,19,Bangladesh,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the vicinity of the circus,19,Bangladesh,"","","","","","","","",Islamic Shashantantra Andolon (ISA),"","","","","","\"Specific motive is unknown; however, Islamic Shashantantra Andolon (ISA) has been targeting the circus for holding \"\"indecent shows\"\"\"",1,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,14,Time Fuse,"","","","","","","","","","","","",The authorities suspect it was a time bomb,2,0,0,35,0,0,1,4,Unknown,"",A bomb exploded at a circus,0,"","","","","","","","","","","","","","","","Multiple incidents - 200209290006.  This incident occurred 15 minutes after another bombing at a cinema house, which had also been targeted by ISA in the past.","\"Nadeem, Qadir, \"\"Six held after blasts at Bangladesh circus",cinema injured 100 [Corrected 09/09/2002],"\"\" Agence France-Press",September 29,"2002.\"","\"\"\"2 Bangladesh explosions kill 3 people",nearly 100 injured,"\"\" Kyodo News",September 29
