200307040006,2003,7,4,"",0,"",197,11,Sub-Saharan Africa,Hhohho,Mbabane,-26.330253,31.13707,1,0,"","07/04/2003: Two flats within the Royal Swaziland Police Camp in Mbabane, Swaziland, were set on fire by suspected members of the Swaziland Youth Congress (Swayoco). The group is the youth wing of the banned People's United Democratic Movement (Pudemo). There were no reported injuries or deaths",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",3,Police,"","",The Royal Swaziland Police Camp,Two flats belonging to police officers in Mbabane,197,Swaziland,"","","","","","","","","","","","","","","","",Swaziland Youth Congress (Swayoco),"","","","","",Unknown,1,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","",Articles stated that the houses were petrol-bombed.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"",Reports mention two flats were burned but they were not completely destroyed. Some reports only mentioned a single room being damaged.,0,"","","","","","","","","","","","","","","",The incident followed a violent clash between a group of Mbabane policemen and members of the Swaziland Youth Congress (Swayoco). The clash occurred after police tried to break up a meeting held by a number of progressive movements bitterly opposed to the non-party system of the traditional conservative Swaziland government. Both police and the youth activists were injured in the clash.,"Zanele Dlamini, �Swaziland: Police officials� houses petrol-bombed,� The Swazi News, July 05, 2003.","�Swaziland: Police on full alert after fire-bombings, clashes with youth congress,� South African Press Association, July 06, 2003.","�Swazi Police camp fire-bombed,� South African Press Association, July 05, 2003.",CETIS,0,0,0,0,""
198212100013,1982,12,10,"",0,"",197,11,Sub-Saharan Africa,Manzini,Manzini,-26.499935,31.375965,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",14,Private Citizens & Property,76,House/Apartment/Residence,"",House ( leased by Mr. Corriea),137,Mozambique,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","",Damages: damaged residence,0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
200601230001,2006,1,23,"",0,"",197,11,Sub-Saharan Africa,Manzini,Matsapha,-26.503695,31.307351,1,0,"","01/23/2006: Two high schools in Swaziland were firebombed by unknown perpetrators and there were no casualties. One high school was in Matsapha, but the location of the other was not reported. The police blame the outlawed political party the People�s United Democratic Movement (PUDEMO), but the group has denied responsibility.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",8,Educational Institution,49,School/University/Educational Building,Unknown,Two high schools,197,Swaziland,"","","","","","","","","","","","","","","","",People's United Democratic Movement (PUDEMO),"","","","","",Unknown,1,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","","",0,0,0,0,0,0,1,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","UN Integrated Regional Information Networks, �Swaziland: Renewed Bombing Despite Detention of Suspects,� Africa News, January 24, 2006.","�Police Blame Swaziland Arson on Pro-Democracy Militants,� AFP, January 24, 2006.","�VOA News: Swaziland�s Main Opposition PUDEMO Denies Allegations,� US Fed News, November 30, 2006.",CETIS,0,0,0,0,""
198412070002,1984,12,7,"",0,"",197,11,Sub-Saharan Africa,Hhohho,Mbabane,-26.328746,31.143897,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",3,Police,25,Police Security Forces/Officers,Local,"Deputy Chief of Security Police, Superintendant Shiba",197,Swaziland,"","","","","","","","","","","","","","","","",African National Congress (South Africa),"","","","","","",1,"","",0,2,"","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
200803020010,2008,3,2,"",0,"",197,11,Sub-Saharan Africa,Shiselweni,Nhlangano,-27.113804,31.198987,1,0,"",03/02/2008:  The Shiselweni Regional police headquarters was petrol-bombed when petrol bombs were thrown all over government building Nhlangano office and set alight after the offenders gained entrance through a fence. Police officers managed to contain the fire before the flames could reach the petrol tanks.,1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,Government of Swaziland,Shiselweni Regional police headquarters,197,Swaziland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"",0,-9,"","","","","","","","",-9,8,Incendiary,20,Gasoline or Alcohol,"","","","","","","","","","","","","",0,0,0,0,0,0,1,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","�Egypt: Attorney 1. �Highlights: Swaziland Daily News Digest 03 Mar 08,� Swaziland -- OSC Summary in English, March 03, 2008.","","",CETIS,-9,-9,0,-9,""
198606260010,1986,6,26,"",0,"",197,11,Sub-Saharan Africa,Manzini,Manzini,-26.499935,31.375965,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",ANC,"Syndey Msibi (Alias Thomas Shongwe), official *",183,South Africa,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","","","","","","","",0,"","","","",1,1,0,"","","",Swaziland,0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
200808070018,2008,8,7,"",0,"",197,11,Sub-Saharan Africa,Lubombo,Big Bend,-26.806357,31.935952,1,0,"","\"08/07/2008: On Thursday, a time-initiated improvised explosive device functioned against a bridge in Big Bend, Lubombo province, Swaziland. There were no casualties. The Umbane People's Liberation Army claimed responsibility for the incident and issued a statement stating \"\"This is a warning to the government to stop the undemocratic elections scheduled for September 19. This sham election defies all treaties on genuine democracy\"\". The group reportedly demanded the lift on bans on political parties.\"",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",19,Transportation,103,Bridge/Car Tunnel,"",A bridge,197,Swaziland,"","","","","","","","","","","","","","","","",Umbane People's Liberation Army (Swaziland),"","","","","","\"The Umbane People's Liberation Army claimed responsibility for the incident and issued a statement, \"\"This is a warning to the government to stop the undemocratic elections scheduled for September 19. This sham election defies all treaties on genuine democracy\"\".\"",0,"","",0,-99,0,1,8,Personal claim,"","","","","","",0,6,Explosives,14,Time Fuse,"","","","","","","","","","","","",A time-initiated improvised explosive device was used in the bombing attack.,0,0,0,0,0,0,-9,"","","","",0,"","","","","","","","","","","","","","","","","\"Triton Report, \"\"An IED Functioned against a Bridge in Big Bend","\"\" Triton Reports",November 25,"2008.\"","\"Agence France Presse, \"\"Swazi Govt Denounces Group Believed Responsible for Explosions","\"\" Lexis Nexis",Agence France Presse,August 11,"2008.\""
198703280003,1987,3,28,"",0,"",197,11,Sub-Saharan Africa,Unknown,Unknown,"","",5,1,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,"","","","",4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","",SADF personnel,183,South Africa,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,8,Landmine,"","","","","","","","","","","","",Anti-tank mine,4,0,0,1,0,0,1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",UMD South Africa,-9,-9,1,1,""
200808070019,2008,8,7,"",0,"",197,11,Sub-Saharan Africa,Lubombo,Mpaka,-26.413517,31.772988,1,0,The target was a bridge in Mpaka.,"08/07/2008: On Thursday, an improvised explosive device functioned against a bridge target in Mpaka. There were no casualties. The Umbane People's Liberation Army claimed responsibility and issued a statement, 'This is a warning to the government to stop the undemocratic elections scheduled for September 19. This sham election defies all treaties on genuine democracy'. The group reportedly demanded the lift on bans on political parties.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",19,Transportation,103,Bridge/Car Tunnel,"",The target was a bridge in Mpaka.,197,Swaziland,"","","","","","","","","","","","","","","","",Umbane People's Liberation Army (Swaziland),"","","","","",The specific motive for the attack is unknown.,0,"","",0,-99,0,1,10,Unknown,"","","","","","",0,6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",The specific type of improvised explosive device is unknown.,0,0,0,0,0,0,1,4,Unknown,"",The extent of the property damage is unknown.,0,"","","","","","","","","","","","","","","","","\"Agence France Press, \"\"Swazi Govt Denounces Group Believed Responsible for Explosions","\"\" Agence France Press",August 11th,"2008.\"","\"Triton Reports, \"\"An IED Functioned Against a Bridge Target in Mpaka","\"\" Triton Reports",August 7th,"2008.\"",""
198901140005,1989,1,14,"",0,"",197,11,Sub-Saharan Africa,Hhohho,Mbabane,-26.328746,31.143897,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,Postal Service,Eveni posy office,197,Swaziland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199106050010,1991,6,5,"",0,"",197,11,Sub-Saharan Africa,Hhohho,Mbabane,-26.328746,31.143897,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,73,Vehicles/Transportation,"",8 vehicles,197,Swaziland,"","","","","","","","","","","","","","","","",Mozambique National Resistance Movement (MNR),"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,8,Incendiary,"","","","","","","","","","",Automatic firearm; Incendiary,0,"","",0,"","",1,3,Minor (likely < $1 million),80000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199202130007,1992,2,13,"",0,"",197,11,Sub-Saharan Africa,Hhohho,Mbabane,-26.328746,31.143897,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",Gov't,"Garage, Interior Ministry Under Secretary Tars Makana",197,Swaziland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,3,Minor (likely < $1 million),25000,"Damages: destroyed vehicle, damaged garage, estimated at $25,000",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199502060003,1995,2,6,"",0,"",197,11,Sub-Saharan Africa,Hhohho,Mbabane,-26.328746,31.143897,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",2,Government (General),21,Government Building/Facility/Office,"",Parliament Bldg,197,Swaziland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","",Arson,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199702050003,1997,2,5,"",0,"",197,11,Sub-Saharan Africa,Manzini,Manzini,-26.499935,31.375965,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",19,Transportation,99,Bus (excluding tourists),"",Bus,197,Swaziland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,3,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Bomb,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199811200004,1998,11,20,"",0,"",197,11,Sub-Saharan Africa,Hhohho,Mbabane,-26.328746,31.143897,1,0,"",11/20/1998: An explosion destroyed the Mbabane offices of Deputy Prime Minister (DPM) Arthur Khoza of Swaziland. A security guard died and two other men were seriously hurt in the blast and four nearby government cars were damaged. Khoza was not at his office at the time and was unharmed. An anonymous caller claiming to speak on behalf of an organization calling itself The Tigers called The Times of Swaziland newspaper and claimed responsibility for the attack.,1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Swaziland Deputy Prime Minister,Offices of the Deputy Prime Minister,197,Swaziland,"","","","","","","","","","","","","","","","",Tigers,"","","","","",Unknown,0,"","",0,"",0,1,2,Call (post-incident),"","","","","","",-9,6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",1,0,0,2,0,0,1,3,Minor (likely < $1 million),"",Four government cars that were parked within the premises were damaged and the Ministry building itself was also badly damaged.,0,"","","","","","","","","","","","","","","","","�Swaziland: Security Forces Patrol Capital After Bombing,� Johannesburg SAPA, November 21, 1998.","�Swaziland: Tigers Claim Responsibility For Bomb Blast,� The Times of Swaziland, November 22, 1998.","",CETIS,0,0,0,0,""
