200204210005,2002,4,22,"",0,"",42,11,Sub-Saharan Africa,Borkou,Faya-Largeau,17.868885,18.80762,2,0,Near Faya-Largeau airport,"4/22/2002: Gueti Mahamat, president of the African Democratic Party (PDA), was killed when his vehicle hit a landmine near the airport in Faya-Largeau, Borkou Department, Chad.  Although unexploded mines from previous conflicts are scattered throughout Chad, officials believe that the incident was intentional.  No group claimed responsibility for the incident; however, several suspects were taken into custody.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,African Democratic Party (PDA),"Gueti Mahamat, the president of the African Democratic Party (PDA)",42,Chad,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,-99,3,0,"","","","","","","","","",6,Explosives,8,Landmine,"","","","","","","","","","","","","",1,0,0,0,0,0,1,4,Unknown,"",A landmine exploded in the vicinity of a vehicle,0,"","","","","","","","","","","","","","","",It is possible that the landmine was left over from a previous conflict.,"\"\"\"Chad arrests 'terrorists' over killing of opposition leader","\"\" Agence France Presse",April 23,"2002.\"","\"\"\"Chad opposition head dies after hitting 'terrorist' mine: govt","\"\" Agence France Presse",April 22,"2002.\"",""
197404210002,1974,4,21,"",0,"",42,11,Sub-Saharan Africa,Tibesti,Bardai,21.436084,17.112289,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,"Medical research center, Bardai","Dr. Cristoph Staewen, FRG, medical personnel, *",75,Germany,"","","","","","","","","","","","","","","","",National Liberation Front of Chad,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,3,0,"","","",Chad,0,"","","","","",2,Hostage(s) released by perpetrators,3,"","","","",PGIS,0,1,1,1,""
200205270002,2002,5,27,"",0,"",42,11,Sub-Saharan Africa,Unknown,Unknown,"","",5,0,"","05/27/2002: Members of the Movement for Democracy and Justice in Chad (MDJT) attacked a convoy of soldiers in the Chadian town of Ounianga. There were no reported injuries, but the incident had a detrimental effect on recent peace accords in the country.",1,1,1,1,2,Other Crime Type,0,0,0,9,Unknown,"","","","",4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Chad Military,Military Personnel in Ounianga,42,Chad,"","","","","","","","","","","","","","","","",Movement for Democracy and Justice in Chad (MDJT),"","","","","",Unknown,0,"","",0,"",0,-9,"","","","","","","","",-9,13,Unknown,"","","","","","","","","","","","","","","",0,0,0,0,0,0,-9,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","�Government reports rebel attack on soldiers 27 May, Libya informed,� Radio France Internationale, May 29, 2002.","�Rebel Attack on Soldiers Likely to Jeopardize Peace Accords,� BBC Monitoring, May 29, 2002.","",CETIS,0,0,0,0,""
198403100004,1984,3,10,"",0,"",42,11,Sub-Saharan Africa,N'Djamena,N'Djamena,12.126693,15.0284,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",6,Airports & Aircraft,42,Aircraft (not at an airport),"",French Airliner of UTA about to take off for Paris (DC-8),69,France,"","","","","","","","","","","","","","","","",Idriss Miskine Group,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",25,"","",1,"","","","Damages: explosion/parcel bomb, destroyed plane (airliner)",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
200208060002,2002,8,6,"",0,"",42,11,Sub-Saharan Africa,Unknown,Unknown,"","",5,0,Border between Chad and Central African Republic,"08/06/2002: Mercenaries coming from Central African Republic (CAR) attacked a Chadian position at the border between Chad and CAR, in the Sido region. About 20 people were killed in the fighting including 2 Chadian soldiers and 10 other mercenaries were made prisoners. This attack came one week before the Khartoum summit during which border security issues between Chad and CAR were to be discussed.",1,1,1,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,"","","","",4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Chadian Army,Chadian troops at Sido-Chad,42,Chad,"","","","","","","","","","","","","","","","",Unknown,"","","","","",The attack was to influence the discussions at the upcoming Khartoum summit where Chad and CAR were to discuss security borders issues.,0,"","",0,"",10,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",20,0,18,"",0,"",0,"","","","",0,"","","","","","","","","","","","","","","",The attack was conducted by mercenaries coming from Central African Republic,"�Chad: renewed tension reported at border with CAR,� Radio France Internationale, August 6, 2002.","","",CETIS,-9,-9,0,-9,""
198502080005,1985,2,8,"",1,2/15/1985,42,11,Sub-Saharan Africa,Unknown,Unknown,"","",5,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",1,Business,4,Multinational Corporation,"Esso Exploration, worldwide subsidisary of Exxon*","not identified, Oil drilling workders",217,United States,"","","","","","","","","","","","","","","","",FACDM,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,2,2,"","","",Chad,0,"","","","","",2,Hostage(s) released by perpetrators,2,"","","","",PGIS,0,1,1,1,""
200208290005,2002,8,29,"",0,"",42,11,Sub-Saharan Africa,Tibesti,Wour,21.366725,15.92385,1,1,This incident occurred on a road between Zouar and Wour.,"08/29/2002: A rebel leader, Youssouf Togoimi, was seriously wounded when a landmine exploded on a road between Zouar and Wour in the northern Tibesti region of Chad. Togoimi was the president of the Democratic Movement for Justice in Chad (MDJT) which had been fighting government troops in the far north of Chad. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",17,Terrorists/Non-State Militia,93,Terrorist,Democratic Movement for Justice in Chad (MDJT),"Youssouf Togoimi, leader of the Democratic Movement for Justice in Chad (MDJT)",42,Chad,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,8,Landmine,"","","","","","","","","","","","","",0,0,0,1,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Government Spokesman Says Rebel Chief Seriously Wounded by Mine Explosion",� Agence France Presse,August 29,"2002.\"","","",CETIS,-9,-9
198601100001,1986,1,10,"",0,"",42,11,Sub-Saharan Africa,Unknown,La Cruz,"","",5,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",19,Transportation,100,Train/Train Tracks/Trolley,"",train near local train station,42,Chad,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",1,"","",1,"","","","Damages: explosion, destroyed unknon number of train cars (train station)",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200604100002,2006,4,10,"",0,"",42,11,Sub-Saharan Africa,Ouaddai,Koukou,11.347344,22.646029,1,0,"","04/10/2006: Rebels from the United Front for Change (FUC) claimed responsibility for seizing the village of Koukou, Togo. There were no casualties.",1,1,1,0,"","",0,1,0,2,Armed Assault,6,Hostage Taking (Kidnapping),"","",14,Private Citizens & Property,75,Village/City/Town/Suburb,Village of Koukou,Village of Koukou,42,Chad,14,Private Citizens & Property,65,Refugee (including Camps/IDP/Asylum Seekers),The United Nations High Commissioner for Refugees,UNHCR office in refugee camp,999,Multinational,"","","","","","","","",United Front for Democratic Change (FUC),"","","","","",Remove government of President Idriss Deby,1,"","",0,"",0,1,10,Unknown,"","","","","","",-9,5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","","","","","","","",-9,"","","","",0,"","","","","","","","","","","","","","","","A spokesman for the FUC rebels denied they had seized the UNHCR refugee camp and taken hostages since their only goal was to undermine President Deby, although a source of the UNHCR contended otherwise. The Chad government declined to make any comment on the events in Koukou.","�Rebels in eastern Chad mount fresh offensive,� Agence France Presse -- English, April 10, 2006.","�Chad: Security Situation Said Worsening, FUC Rebels Claim Seizing Mongo,� Paris AFP (World Service) in English, April 11, 2006.","�Chadian rebels attack refugee camp in southeast, injure security officers,� Paris Radio France Internationale in French, April 11, 2006.",CETIS,0,1,1,1,""
199104020010,1991,4,2,"",0,"",42,11,Sub-Saharan Africa,N'Djamena,N'Djamena,12.126693,15.0284,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",3,Police,22,"Police Building (headquarters, station, school)",Police,Station,42,Chad,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200604100017,2006,4,10,"",1,4/11/2006,42,11,Sub-Saharan Africa,Ouaddai,Goz Amer,13.653141,21.200097,1,1,Near Goz Beida,"04/10/2006: An unknown number of Chadian rebels entered a refugee camp in Goz Amer, Chad during a food distribution exercise. The rebels stole equipment from aid workers and forced 118 of them to spend the night at the camp before allowing them to leave the next morning. There were no casualties.",1,1,1,0,"","",1,1,0,2,Armed Assault,5,Hostage Taking (Barricade Incident),"","",14,Private Citizens & Property,65,Refugee (including Camps/IDP/Asylum Seekers),IGO Food distribution humanitarian effort,Goz Amer camp in Chad,999,Multinational,9,Food or Water Supply,51,Food Supply,IGO Food distribution humanitarian effort,Goz Amer camp in Chad,42,Chad,"","","","","","","","",United Front for Democratic Change (FUC),"","","","","",Effort to prepare to take control of Ndjamena,0,"","",0,"",0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",0,0,0,3,0,0,0,"","","","",1,118,-99,"",-99,"","","","","","","","",2,Hostage(s) released by perpetrators,118,"They [rebels] told the teams which were present that they would not harm the aid workers if they respected their instructions. The rebels asked several NGOs which were in the camp not to come out, to go where the aid workers were, but three gendarmes, who were protecting the refugees in Goz Amer, were injured.","�Chadian rebels launch fresh attack, take control of refugee camp,� Deutsche Presse-Agentur, April 11, 2006.","Abakar Saleh, �Gunmen temporarily capture Chad town; government says it has regained control,� Associated Press Worldstream, April 12, 2006.","�Chad: Security Situation Said Worsening, FUC Rebels Claim Seizing Mongo,� Paris AFP (World Service) in English, April 11, 2006.",CETIS,0,1,1,1,"200604100017, 200604100024"
199110130008,1991,10,13,"",0,"",42,11,Sub-Saharan Africa,N'Djamena,N'Djamena,12.126693,15.0284,1,0,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,"","","","",4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Military,Armory Depot,42,Chad,"","","","","","","","","","","","","","","","",Coup plotters,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,40,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
