200109110008,2001,9,11,"",0,"",12,7,Central Asia,Yerevan,Yerevan,40.17857,44.535763,1,0,A residence in Yerevan,"09/11/2001: Andranik Markarian, the Prime Minister's aide and a businessman, was killed by a grenade left at his front door around 9:15am in Yerevan, Armenia.  Although no group claimed responsibility for the attack, sources thought it might be related to his business dealings.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",Aide to the Prime Minister of Armenia,Andranik Markarian,12,Armenia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","Although the specific motive was unknown, sources speculated that the attack could have been related to Markarian's business dealings, as he was involved in importing oil.",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","","The grenade was thought to have been connected to his front door so that when he opened the door to leave in the morning, it would explode.",1,0,0,0,0,0,-9,4,Unknown,"","Sources mention flying shrapnel from the explosion, but no details on any property damage were provided.",0,"","","","","","","","","","","","","","","","One of the sources says that Markarian's son was wounded in the explosion, while the other says that both his wife and son were not harmed.","\"\"\"Armenia killing","\"\" Associated Press",September 11,"2001.\"","\"\"\"Booby trap grenade kills senior aide to Armenian Prime Minister","\"\" EFE News Service",September 11,"2001.\"",""
199112160015,1991,12,16,"",0,"",12,7,Central Asia,Meghri,Meghri,38.902222,46.238333,1,0,"","",1,1,1,-9,"","",0,1,0,4,Hijacking,"","","","",19,Transportation,100,Train/Train Tracks/Trolley,Railway,Train,359,Soviet Union,"","","","","","","","","","","","","","","","",Armenian Guerrillas,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,0,"","",0,"","",1,"","","","",1,70,0,"","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
200704110005,2007,4,11,"",0,"",12,7,Central Asia,Yerevan,Yerevan,40.17857,44.535763,1,0,"","04/11/2007: The party offices in Yerevan's Zeytun and Avan, Armenia, communities were attacked. Both offices were located on the ground floor in blocks of flats. The blast seriously harmed the building where the party's Avan office is located. Windows were broken and a nearby chemist's shop was damaged. There were no casualties and no one claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Political Party Headquarters in Zeytun,Prosperous Armenia Party Headquarters,12,Armenia,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Political Party Headquarters in Avan,Prosperous Armenia Party Headquarters,12,Armenia,"","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","Staff, �Major Party�s Offices Blown up in Armenian Capital,� Yerevan Arminfo, April 12, 2007.","","",CETIS,-9,-9,0,-9,""
199203090007,1992,3,9,"",0,"",12,7,Central Asia,Artik,Artik,40.617222,43.975833,1,0,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,"","","","",4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Commonwealth of Independent States Military,Missile Base,351,Commonwealth of Independent States,"","","","","","","","","","","","","","","","",Armenian militants,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,2,"","",0,"","",1,"","","","",1,10,0,0,"","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
199207060012,1992,7,6,"",0,"",12,7,Central Asia,Gyumri,Gyumri,40.789444,43.8475,1,0,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,"","","","",4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Russian Army,Post,167,Russia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,23,Knife or Other Sharp Object,5,Firearms,3,Handgun,"","","","","","","","",Knife; Pistol,0,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199404150002,1994,4,15,"",0,"",12,7,Central Asia,Yerevan,Yerevan,40.17857,44.535763,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",Government,Parliament Member Vazdges Petrosyan,12,Armenia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,3,Handgun,"","","","","","","","","","","","",Pistol,1,0,"",0,0,"",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199405070009,1994,5,7,"",0,"",12,7,Central Asia,"",Yerevan,40.17857,44.535763,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,73,Vehicles/Transportation,International Armenian Assoc.,"Apartment, President Serzh Dzhiloyan",12,Armenia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,0,"",0,0,"",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199405270006,1994,5,27,"",0,"",12,7,Central Asia,Yerevan,Yerevan,40.17857,44.535763,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,11,Entertainment/Cultural/Stadium/Casino,Sidon Travel,Office,999,Multinational,20,Unknown,"","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,0,"",0,0,"",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199409040004,1994,9,4,"",0,"",12,7,Central Asia,Noyemberyan,Bagratashen,41.245833,44.821111,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,74,Marketplace/Plaza/Square,Unknown,Crowded marketplace,12,Armenia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,14,0,"",46,0,"",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199507210009,1995,7,21,"",0,"",12,7,Central Asia,Tavush,Bagratashen,41.245833,44.821111,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,74,Marketplace/Plaza/Square,Unk,Market Place,12,Armenia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,2,"","",20,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199608240005,1996,8,24,"",0,"",12,7,Central Asia,Yerevan,Yerevan,40.17857,44.535763,1,0,"","",1,1,1,-9,"","",0,1,0,1,Assassination,"","","","",1,Business,"","","",two iranian business,94,Iran,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Small caliber,2,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
